,tot_returns,annual_returns,annual_volatility,sortino_ratio,sharpe_ratio,max_drawdown,max_drawdown_duration
Turtle,7.9352,0.1001,0.1489,0.6309,0.5377,0.3088,1182
BTC-USD,3.0125,0.0624,0.1987,0.2646,0.2133,0.5519,2406
